Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
11/2025,1002966,Đời sống,260,190,70,43,217,"9,619,932",610943,9008989,607988,1898282,318761,1960028,455325,797810,2330472,2548259,7071673,8557607,1051185,11140,5523072,3397460,644336,48979
11/2025,1003231,Du lịch,231,189,42,43,188,"4,529,241",343221,4186020,235350,1319733,124777,1037008,249216,389696,1118901,555129,3974112,3986813,538114,4314,2187065,1897749,409210,28824
11/2025,1003888,English,1109,1068,41,0,1109,"8,739,537",214803,8524734,998099,5151928,118023,281977,44131,453662,1662453,1445181,7294356,1996693,6575528,167316,6604874,1320063,661313,91869
11/2025,1002691,Giải trí,462,426,36,111,351,"13,185,309",1002603,12182706,673691,2723301,247949,3588212,896828,1671179,3276445,1955400,11229909,11103147,2069820,12342,6861493,5055742,1170071,87704
11/2025,1003497,Giáo dục,255,199,56,46,209,"5,701,365",301175,5400190,396165,2139506,335434,1118365,198492,446663,1024216,657534,5043831,5322107,373803,5455,3292824,1955035,415346,32331
11/2025,1003450,Góc nhìn,33,33,0,0,33,"1,875,552",150554,1724998,68587,68168,35521,521721,65191,108171,1004159,652469,1223083,1674094,200293,1165,556062,830886,477110,10510
11/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"10,991,000",1070244,9920756,942114,2398921,219358,2822686,688481,947771,2872059,0,0,9803919,1179608,7473,5827319,4007699,1083138,63489
11/2025,1003159,Kinh doanh,762,364,398,187,575,"16,088,831",1327965,14760866,1582036,2605849,665164,4897140,877134,965140,4412736,2491000,13597831,14608443,1472550,7838,8362233,6039669,1608685,68976
11/2025,1004492,Mới nhất,0,0,0,0,0,"4,711,949",391912,4320037,431097,273821,133,605903,151932,459265,2787953,4711949,0,4186070,523695,2184,929651,2067316,1688488,12340
11/2025,1002835,Ngôi sao,1583,1510,73,1428,155,"49,777,062",2172467,47604595,9948921,8807147,1477294,9224071,1305613,7320111,11366158,21069087,28707975,41824426,7912062,40574,30500989,18388541,499546,270585
11/2025,1001007,Pháp luật,350,349,1,144,206,"21,752,849",1475466,20277383,1448761,3347939,737476,6341211,1484211,2428195,5807616,3267062,18485787,19391920,2349009,11920,12893158,6388048,2357157,102924
11/2025,1005858,Spotlight,0,0,0,0,0,"4,190",522,3668,243,29,67,1152,416,578,1643,4190,0,3847,340,3,2042,2105,0,24
11/2025,1003750,Sức khỏe,930,356,574,53,877,"8,929,184",644289,8284895,486579,1889424,297606,2441930,379074,724549,2622947,873333,8055851,7974012,948720,6452,4845671,2940633,1043241,53266
11/2025,1001014,Tâm sự,429,429,0,0,429,"9,530,177",696803,8833374,477701,940236,32767,1903268,1542003,1558771,3018134,2783619,6746558,8461304,1064653,4220,4957668,3671175,848160,49204
11/2025,1001002,Thế giới,763,763,0,468,295,"59,958,874",5262659,54696215,3971700,5141550,405086,18551903,5759445,5885131,19904982,14892699,45066175,50639065,9279660,40149,34377973,19183171,6087034,276244
11/2025,1002565,Thể thao,701,597,104,178,523,"20,656,296",1584116,19072180,1578318,4068508,191170,4423153,2648066,1841867,5833063,7655156,13001140,18197043,2447733,11520,12127888,6615912,1774029,90234
11/2025,1001005,Thời sự,502,448,54,353,149,"29,034,652",2127780,26906872,2260745,4054648,1059838,10148990,1375914,2311843,7652249,3999936,25034716,27040150,1982600,11902,16761540,9094036,3033483,128309
11/2025,1001011,Thư giãn,210,210,0,0,210,"8,488,867",228868,8259999,355349,3871438,11782,366765,100889,3016513,702471,248876,8239991,8168314,318122,2431,7148360,1052322,243215,43652
11/2025,1006255,VnE-GO,0,0,0,0,0,"8,304,810",517030,7787780,274776,185585,74631,3244607,332117,512577,3648762,0,0,7615065,685518,4227,3752509,3803149,700211,27179
11/2025,1000000,VnExpress,0,0,0,0,0,"175,555,050",12241467,163313583,79764041,21051944,73916,13690,1436823,6193006,66421260,175555050,0,155919567,19547588,87895,86791644,62574716,25423086,596664
